Fighter1,Fighter2,F1 Winner?,F2 Winner?,Fight Method,Round,Time,Time Format,Referee,Finish Details or Judges Scorecard,Bout,Event Name,Location,Date,Rounds,Total Strike Landed R1  Disp.,Total Strike Missed R1  Disp.,Non-Sig. Strike Landed R1  Disp.,Non-Sig. Strike Missed R1  Disp.,Sig. Strike Landed R1  Disp.,Sig. Strike Missed R1  Disp.,Head R1  Disp.,Body R1  Disp.,Leg R1  Disp.,Distance R1  Disp.,Clinch R1  Disp.,Ground R1  Disp.,Knockdowns R1  Disp.,TD Completed R1  Disp.,TD Missed R1  Disp.,Sub. Att R1  Disp.,Rev. R1  Disp.,Ctrl Time (Minutes) R1  Disp.,Total Strike Landed R2  Disp.,Total Strike Missed R2  Disp.,Non-Sig. Strike Landed R2  Disp.,Non-Sig. Strike Missed R2  Disp.,Sig. Strike Landed R2  Disp.,Sig. Strike Missed R2  Disp.,Head R2  Disp.,Body R2  Disp.,Leg R2  Disp.,Distance R2  Disp.,Clinch R2  Disp.,Ground R2  Disp.,Knockdowns R2  Disp.,TD Completed R2  Disp.,TD Missed R2  Disp.,Sub. Att R2  Disp.,Rev. R2  Disp.,Ctrl Time (Minutes) R2  Disp.,Total Strike Landed R3  Disp.,Total Strike Missed R3  Disp.,Non-Sig. Strike Landed R3  Disp.,Non-Sig. Strike Missed R3  Disp.,Sig. Strike Landed R3  Disp.,Sig. Strike Missed R3  Disp.,Head R3  Disp.,Body R3  Disp.,Leg R3  Disp.,Distance R3  Disp.,Clinch R3  Disp.,Ground R3  Disp.,Knockdowns R3  Disp.,TD Completed R3  Disp.,TD Missed R3  Disp.,Sub. Att R3  Disp.,Rev. R3  Disp.,Ctrl Time (Minutes) R3  Disp.
Cheyanne Vlismas,Montserrat Conejo Ruiz,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 28 - 29. Junichiro Kamijo 28 - 29. Bryan Miner 27 - 29.,Women's Strawweight Bout,UFC Fight Night: Brunson vs. Holland,"Las Vegas, Nevada, USA",3/20/21,3,-46,-4,-50,-1,4,-3,3,1,0,3,1,0,0,-1,0,-1,1,-4.483333333,-26,7,-31,-2,5,9,7,0,-2,2,0,3,0,-2,-1,-1,1,-2.5,-15,3,-22,1,7,2,6,4,-3,6,1,0,0,-1,0,0,0,-1.833333333
Marion Reneau,Macy Chiasson,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 28 - 29. Sal D'amato 28 - 29. Rick Winter 28 - 29.,Women's Bantamweight Bout,UFC Fight Night: Brunson vs. Holland,"Las Vegas, Nevada, USA",3/20/21,3,-2,-25,0,1,-2,-26,-1,-2,1,-3,1,0,0,0,1,0,0,0.433333333,-26,-14,-14,-1,-12,-13,-7,-4,-1,-9,-3,0,0,1,0,0,-1,-2.233333333,-5,-19,2,-4,-7,-15,-7,-2,2,1,-6,-2,0,0,1,0,0,0.25
Trevin Giles,Roman Dolidze,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Eric Colon 28 - 29. Bryan Miner 28 - 29. Adalaide Byrd 28 - 29.,Middleweight Bout,UFC Fight Night: Brunson vs. Holland,"Las Vegas, Nevada, USA",3/20/21,3,-18,0,-8,0,-10,0,-1,1,-10,-11,1,0,0,-1,0,0,0,-1.683333333,-1,-3,-8,0,7,-3,10,-2,-1,-2,1,8,0,0,0,-1,0,-0.416666667,-13,-2,-11,0,-2,-2,3,-2,-3,0,-1,-1,0,1,-1,0,-1,-0.9
Manel Kape,Matheus Nicolau,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Mark Smith,Chris Lee 28 - 29. Bryan Miner 28 - 29. Dave Hagen 29 - 28.,Flyweight Bout,UFC Fight Night: Edwards vs. Muhammad,"Las Vegas, Nevada, USA",3/13/21,3,-17,-1,-12,-3,-5,2,-3,0,-2,-2,0,-3,0,-2,-1,-1,0,-2.366666667,7,24,0,0,7,24,9,-4,2,7,0,0,0,0,-3,0,0,0.016666667,7,13,3,-3,4,16,4,-7,7,3,-1,2,0,0,-3,0,0,0.466666667
Angela Hill,Ashley Yoder,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,Mike Bell 27 - 30. Sal D'amato 27 - 30. Rick Winter 27 - 30.,Women's Strawweight Bout,UFC Fight Night: Edwards vs. Muhammad,"Las Vegas, Nevada, USA",3/13/21,3,12,-5,2,1,10,-6,5,0,5,4,5,1,0,1,-1,0,0,1.616666667,21,-18,5,1,16,-19,-1,11,6,8,8,0,0,-1,-1,0,0,-0.6,11,1,-6,0,17,1,5,13,-1,1,16,0,0,-1,0,0,0,0.2
Nasrat Haqparast,Rafa Garcia,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Chris Lee 27 - 30. Junichiro Kamijo 28 - 29. Tony Weeks 28 - 29.,Lightweight Bout,UFC Fight Night: Edwards vs. Muhammad,"Las Vegas, Nevada, USA",3/13/21,3,3,-12,-2,1,5,-13,3,5,-3,6,-1,0,0,0,-2,0,0,-0.266666667,13,-22,0,0,13,-22,10,4,-1,14,-1,0,0,0,1,0,0,-0.083333333,29,-12,0,0,29,-12,15,14,0,31,-2,0,0,0,0,0,0,0
Cortney Casey,JJ Aldrich,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Mark Smith,Rick Winter 28 - 29. Mike Bell 28 - 29. Sal D'amato 29 - 28.,Women's Flyweight Bout,UFC Fight Night: Edwards vs. Muhammad,"Las Vegas, Nevada, USA",3/13/21,3,33,10,21,1,12,9,2,2,8,7,5,0,0,-1,-1,0,0,-1.866666667,28,10,32,-1,-4,11,-7,2,1,1,0,-5,0,-2,-1,0,0,-3.1,2,20,0,-1,2,21,-1,1,2,1,1,0,0,-1,0,0,0,-0.733333333
Gloria de Paula,Jinh Yu Frey,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,Sal D'amato 28 - 29. Chris Lee 28 - 29. Bryan Miner 28 - 29.,Women's Strawweight Bout,UFC Fight Night: Edwards vs. Muhammad,"Las Vegas, Nevada, USA",3/13/21,3,-18,-9,-12,-5,-6,-4,-3,1,-4,-1,1,-6,0,-1,0,0,0,-4.733333333,12,-17,0,1,12,-18,10,2,0,9,3,0,0,0,-1,0,0,-0.1,7,-5,6,-4,1,-1,1,1,-1,2,-1,0,0,-1,0,-2,0,-4.633333333
Thiago Santos,Aleksandar Rakic,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Eric Colon 28 - 29. Dave Hagen 28 - 29. Ron McCarthy 27 - 30.,Light Heavyweight Bout,UFC 259: Blachowicz vs. Adesanya,"Las Vegas, Nevada, USA",3/6/21,3,1,-4,0,0,1,-4,-2,5,-2,1,0,0,0,0,0,0,0,0,-6,0,-2,0,-4,0,0,-2,-2,-3,-1,0,0,0,0,0,0,-1.183333333,16,-1,0,0,16,-1,4,7,5,8,8,0,0,0,-1,0,0,-1.35
Dominick Cruz,Casey Kenney,1,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Jason Herzog,Derek Cleary 28 - 29. Mike Bell 29 - 28. Sal D'amato 27 - 30.,Bantamweight Bout,UFC 259: Blachowicz vs. Adesanya,"Las Vegas, Nevada, USA",3/6/21,3,3,-10,0,0,3,-10,1,1,1,4,-1,0,0,0,2,0,0,-0.283333333,3,6,0,0,3,6,3,7,-7,3,0,0,0,0,3,0,0,-0.15,35,-1,26,1,9,-2,6,6,-3,6,3,0,0,2,0,0,0,2.116666667
Song Yadong,Kyler Phillips,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Eric Colon 28 - 29. Chris Lee 28 - 29. Ron McCarthy 28 - 29.,Bantamweight Bout,UFC 259: Blachowicz vs. Adesanya,"Las Vegas, Nevada, USA",3/6/21,3,0,-12,6,2,-6,-14,-1,-5,0,-4,-1,-1,0,-1,0,0,0,-0.366666667,1,13,0,0,1,13,-1,4,-2,4,-1,-2,0,-1,-1,0,0,-0.683333333,19,16,6,4,13,12,3,5,5,13,0,0,0,-1,-1,0,1,0.55
Joseph Benavidez,Askar Askarov,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Derek Cleary 27 - 30. Tony Weeks 27 - 30. Sal D'amato 26 - 30.,Flyweight Bout,UFC 259: Blachowicz vs. Adesanya,"Las Vegas, Nevada, USA",3/6/21,3,-2,31,1,0,-3,31,-8,1,4,-4,1,0,0,-1,-1,0,0,-0.9,-6,-4,0,-5,-6,1,-7,2,-1,-2,-1,-3,0,-4,0,0,0,-4.1,-2,6,1,0,-3,6,-11,4,4,-3,0,0,0,0,0,0,0,0
Tim Elliott,Jordan Espinosa,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 27 - 30. Sal D'amato 27 - 30. Chris Lee 25 - 30.,Flyweight Bout,UFC 259: Blachowicz vs. Adesanya,"Las Vegas, Nevada, USA",3/6/21,3,14,4,15,2,-1,2,-1,1,-1,-2,1,0,0,1,2,0,0,3.95,22,6,16,5,6,1,3,3,0,1,0,5,0,2,0,0,0,4.583333333,33,6,26,2,7,4,5,2,0,-1,1,7,0,1,1,0,0,4.783333333
Nikita Krylov,Magomed Ankalaev,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 28 - 29. Chris Lee 28 - 29. Ron McCarthy 28 - 29.,Light Heavyweight Bout,UFC Fight Night: Rozenstruik vs. Gane,"Las Vegas, Nevada, USA",2/27/21,3,7,5,-3,1,10,4,-1,9,2,11,-1,0,0,1,0,0,0,1.5,-15,18,-12,0,-3,18,-10,3,4,0,1,-4,0,-1,0,0,0,-2.083333333,-23,-3,-20,-5,-3,2,-8,6,-1,5,0,-8,0,-2,-1,0,0,-3.666666667
Montana De La Rosa,Mayra Bueno Silva,1,0,Decision - Majority,3,5:00,3 Rnd (5-5-5),Jerin Valel,Eric Colon 27 - 28. Derek Cleary 28 - 28. Sal D'amato 28 - 28.,Women's Flyweight Bout,UFC Fight Night: Rozenstruik vs. Gane,"Las Vegas, Nevada, USA",2/27/21,3,-17,12,-9,0,-8,12,0,-7,-1,4,-12,0,0,1,4,0,0,3.116666667,27,6,32,3,-5,3,-3,-1,-1,2,-5,-2,0,1,4,0,0,1,-14,0,-5,1,-9,-1,-6,-3,0,-3,-7,1,0,1,1,-1,0,4.016666667
Pedro Munhoz,Jimmie Rivera,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Ron McCarthy 27 - 30. Junichiro Kamijo 27 - 30. Mike Bell 28 - 29.,Bantamweight Bout,UFC Fight Night: Rozenstruik vs. Gane,"Las Vegas, Nevada, USA",2/27/21,3,6,-14,0,0,6,-14,-8,2,12,6,0,0,0,0,-1,0,0,0,8,-9,0,0,8,-9,-6,7,7,7,1,0,0,-1,-2,0,0,-0.016666667,15,-5,0,0,15,-5,1,6,8,15,0,0,0,0,-1,0,0,0
Alex Caceres,Kevin Croom,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Eric Colon 26 - 30. Chris Lee 26 - 30. Tony Weeks 27 - 30.,Featherweight Bout,UFC Fight Night: Rozenstruik vs. Gane,"Las Vegas, Nevada, USA",2/27/21,3,15,-4,4,1,11,-5,8,6,-3,4,3,4,0,0,-7,0,1,-2.066666667,15,-4,12,-4,3,0,1,1,1,1,2,0,0,-1,-5,1,0,-4.216666667,41,-9,23,1,18,-10,14,3,1,11,5,2,0,1,-3,0,-1,2.483333333
Alexander Hernandez,Thiago Moises,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Eric Colon 27 - 30. Dave Hagen 27 - 30. Ron McCarthy 28 - 29.,Lightweight Bout,UFC Fight Night: Rozenstruik vs. Gane,"Las Vegas, Nevada, USA",2/27/21,3,2,24,0,0,2,24,-4,7,-1,2,0,0,0,0,0,0,0,0,1,-9,0,0,1,-9,-6,2,5,1,0,0,0,0,0,0,0,0,-6,10,0,0,-6,10,-11,4,1,-6,0,0,0,0,-1,0,0,0
Alexis Davis,Sabina Mazo,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 27 - 30. Tony Weeks 27 - 30. Derek Cleary 26 - 30.,Women's Bantamweight Bout,UFC Fight Night: Rozenstruik vs. Gane,"Las Vegas, Nevada, USA",2/27/21,3,26,-3,33,12,-7,-15,-11,0,4,-8,0,1,0,1,0,0,0,3.85,2,-49,9,2,-7,-51,-31,1,23,-8,0,1,0,1,-1,0,0,0.4,29,18,30,19,-1,-1,0,-2,1,-2,0,1,0,1,0,0,0,4.583333333
Dustin Jacoby,Maxim Grishin,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 28 - 29. Sal D'amato 28 - 29. Tony Weeks 28 - 29.,Light Heavyweight Bout,UFC Fight Night: Rozenstruik vs. Gane,"Las Vegas, Nevada, USA",2/27/21,3,-19,-1,-11,-2,-8,1,-8,1,-1,-3,0,-5,-2,0,-1,0,0,-0.916666667,0,6,0,0,0,6,-1,-2,3,0,0,0,0,0,-1,0,0,0,-1,-16,0,1,-1,-17,3,0,-4,-1,0,0,0,0,0,0,0,0.45
Ketlen Vieira,Yana Santos,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Eric Colon 28 - 29. Sal D'amato 28 - 29. Junichiro Kamijo 28 - 29.,Women's Bantamweight Bout,UFC Fight Night: Blaydes vs. Lewis,"Las Vegas, Nevada, USA",2/20/21,3,-63,4,-51,0,-12,4,-1,-11,0,1,-10,-3,0,2,2,0,0,3.8,-71,-13,-50,-9,-21,-4,-2,-13,-6,-2,-7,-12,0,0,3,0,0,-4.216666667,-46,-7,-39,-3,-7,-4,-1,-3,-3,-4,0,-3,0,1,0,0,0,3.9
Charles Rosa,Darrick Minner,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 26 - 30. Rick Winter 27 - 30. Chris Lee 27 - 29.,Featherweight Bout,UFC Fight Night: Blaydes vs. Lewis,"Las Vegas, Nevada, USA",2/20/21,3,-38,-11,-21,-4,-17,-7,-17,1,-1,-4,-4,-9,0,-2,-1,0,0,-3.05,-23,1,-10,0,-13,1,-11,-1,-1,-4,-1,-8,-1,-1,0,-1,0,-4.766666667,5,0,5,-1,0,1,2,-1,-1,-5,0,5,0,-1,1,0,0,-4.75
Phil Hawes,Nassourdine Imavov,1,0,Decision - Majority,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Junichiro Kamijo 28 - 28. Mike Bell 28 - 29. Chris Lee 28 - 29.,Middleweight Bout,UFC Fight Night: Blaydes vs. Lewis,"Las Vegas, Nevada, USA",2/20/21,3,21,-1,14,1,7,-2,2,-1,6,7,-1,1,0,2,0,0,0,3.633333333,6,-2,16,2,-10,-4,-5,-4,-1,-5,-4,-1,0,1,3,0,0,4.25,-13,-7,10,0,-23,-7,-23,-2,2,-8,-15,0,0,1,0,0,0,3.1
Jared Gordon,Danny Chavez,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Eric Colon 27 - 30. Junichiro Kamijo 27 - 30. Chris Lee 28 - 29.,Featherweight Bout,UFC Fight Night: Blaydes vs. Lewis,"Las Vegas, Nevada, USA",2/20/21,3,16,-4,0,0,16,-4,2,4,10,14,2,0,0,0,0,0,0,0.1,48,5,37,4,11,1,10,3,-2,3,0,8,0,0,0,0,0,3.366666667,32,-22,16,0,16,-22,6,7,3,12,3,1,0,1,5,0,0,2.483333333
Maycee Barber,Alexa Grasso,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Junichiro Kamijo 28 - 29. Sal D'amato 28 - 29. Eric Colon 28 - 29.,Women's Flyweight Bout,UFC 258: Usman vs. Burns,"Las Vegas, Nevada, USA",2/13/21,3,-29,18,-26,-12,-3,30,-6,4,-1,-5,2,0,0,0,1,0,0,-1.05,-20,7,-16,-5,-4,12,-2,-1,-1,-2,-2,0,0,1,0,-1,-1,-0.566666667,4,23,-5,-4,9,27,7,2,0,0,7,2,0,2,1,0,0,-0.316666667
Kelvin Gastelum,Ian Heinisch,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Ron McCarthy 27 - 30. Bryan Miner 28 - 29. Derek Cleary 28 - 29.,Middleweight Bout,UFC 258: Usman vs. Burns,"Las Vegas, Nevada, USA",2/13/21,3,3,1,3,3,0,-2,3,1,-4,0,0,0,0,3,0,-2,0,3.366666667,-2,8,-6,9,4,-1,1,1,2,1,3,0,0,1,2,0,0,2.05,-6,4,-13,-5,7,9,6,2,-1,1,5,1,0,1,1,0,0,0.233333333
Ricky Simon,Brian Kelleher,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Sal D'amato 27 - 30. Tony Weeks 27 - 30. Ron McCarthy 27 - 30.,Featherweight Bout,UFC 258: Usman vs. Burns,"Las Vegas, Nevada, USA",2/13/21,3,8,6,3,6,5,0,4,0,1,-1,4,2,0,3,3,0,0,3.216666667,15,5,5,0,10,5,7,0,3,7,-1,4,0,2,0,0,0,1.45,24,-5,13,1,11,-6,7,-1,5,5,2,4,0,1,0,1,0,3.366666667
Belal Muhammad,Dhiego Lima,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Jerin Valel 27 - 30. Sal D'amato 27 - 30. Derek Cleary 27 - 30.,Welterweight Bout,UFC 258: Usman vs. Burns,"Las Vegas, Nevada, USA",2/13/21,3,23,2,0,1,23,1,21,10,-8,22,1,0,0,0,2,0,0,0.25,14,-7,1,3,13,-10,27,-1,-13,11,2,0,0,0,3,0,0,0.583333333,29,17,5,7,24,10,35,-6,-5,16,8,0,0,1,3,0,0,1.866666667
Andre Ewell,Chris Gutierrez,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Junichiro Kamijo 26 - 30. Ron McCarthy 28 - 29. Sal D'amato 27 - 30.,Catch Weight Bout,UFC 258: Usman vs. Burns,"Las Vegas, Nevada, USA",2/13/21,3,5,5,1,0,4,5,-3,4,3,10,-6,0,-1,0,0,0,0,-0.5,6,2,0,1,6,1,3,6,-3,6,0,0,0,1,0,1,0,-0.016666667,-21,-4,-1,-2,-20,-2,-8,4,-16,-18,-2,0,0,-1,0,0,0,-0.516666667
Gabe Green,Phil Rowe,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Tony Weeks 27 - 30. Dave Hagen 28 - 29. Eric Colon 28 - 29.,Welterweight Bout,UFC 258: Usman vs. Burns,"Las Vegas, Nevada, USA",2/13/21,3,13,-8,10,0,3,-8,-2,0,5,3,0,0,0,2,0,1,-1,-0.933333333,27,35,12,2,15,33,6,6,3,1,2,12,1,0,-2,0,-1,0.566666667,40,13,30,0,10,13,7,1,2,7,1,2,1,-2,-2,0,0,-2.133333333
Michael Johnson,Clay Guida,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Chris Lee 27 - 30. Junichiro Kamijo 27 - 30. Tony Weeks 27 - 30.,Lightweight Bout,UFC Fight Night: Overeem vs. Volkov,"Las Vegas, Nevada, USA",2/6/21,3,1,20,-1,0,2,20,5,-1,-2,5,-3,0,0,-1,-1,0,0,-0.85,-3,2,-4,0,1,2,9,-5,-3,5,-5,1,0,-1,-3,0,0,-1.766666667,7,4,1,-2,6,6,7,-1,0,5,0,1,0,-1,0,-1,0,-1.216666667
Alexandre Pantoja,Manel Kape,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Chris Lee 28 - 29. Rick Winter 28 - 29. Jerin Valel 27 - 30.,Flyweight Bout,UFC Fight Night: Overeem vs. Volkov,"Las Vegas, Nevada, USA",2/6/21,3,12,15,-1,-1,13,16,0,5,8,12,0,1,0,0,0,0,0,0.35,14,2,1,0,13,2,-3,12,4,13,0,0,0,-1,-2,0,0,-0.166666667,0,15,1,0,-1,15,-6,1,4,-2,1,0,0,-1,-2,0,0,-0.2
Diego Ferreira,Beneil Dariush,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Dave Hagen 28 - 29. Jerin Valel 29 - 28. Chris Lee 28 - 29.,Lightweight Bout,UFC Fight Night: Overeem vs. Volkov,"Las Vegas, Nevada, USA",2/6/21,3,-8,-4,0,0,-8,-4,-7,1,-2,-3,2,-7,0,-1,-2,0,0,-3,12,-4,8,-2,4,-2,3,3,-2,4,0,0,0,-3,-2,0,0,-3.35,-4,21,0,2,-4,19,1,-4,-1,-7,0,3,0,-1,-5,0,1,-0.066666667
Karol Rosa,Joselyne Edwards,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Chris Lee 27 - 30. Adalaide Byrd 27 - 30. Junichiro Kamijo 27 - 30.,Women's Bantamweight Bout,UFC Fight Night: Overeem vs. Volkov,"Las Vegas, Nevada, USA",2/6/21,3,32,2,23,2,9,0,4,3,2,0,3,6,0,0,1,0,-1,3.55,23,12,22,7,1,5,0,0,1,-4,3,2,0,1,-1,0,0,3.233333333,10,-1,1,-2,9,1,7,2,0,0,2,7,0,2,0,0,0,4.4
Molly McCann,Lara Procopio,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Sal D'amato 27 - 29. Chris Lee 28 - 29. Jerin Valel 27 - 30.,Women's Flyweight Bout,UFC Fight Night: Overeem vs. Volkov,"Las Vegas, Nevada, USA",2/6/21,3,-6,-8,-7,-1,1,-7,2,-1,0,-1,3,-1,0,-1,-1,0,0,-3.483333333,8,-1,8,2,0,-3,-3,1,2,1,-2,1,0,-3,-1,1,0,-3.9,-16,-7,-16,-5,0,-2,-2,2,0,2,1,-3,0,-3,0,-1,0,-3.5
SeungWoo Choi,Youssef Zalal,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Sal D'amato 28 - 29. Junichiro Kamijo 28 - 29. Adalaide Byrd 27 - 30.,Featherweight Bout,UFC Fight Night: Overeem vs. Volkov,"Las Vegas, Nevada, USA",2/6/21,3,7,29,6,0,1,29,2,-2,1,-3,4,0,0,1,-2,0,0,-1.333333333,20,11,7,1,13,10,10,2,1,5,8,0,0,1,-2,0,0,-0.766666667,0,7,-4,2,4,5,1,1,2,3,-1,2,0,-3,-1,-1,-1,1.266666667
Timur Valiev,Martin Day,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Jerin Valel 25 - 30. Rick Winter 25 - 30. Tony Weeks 26 - 30.,Featherweight Bout,UFC Fight Night: Overeem vs. Volkov,"Las Vegas, Nevada, USA",2/6/21,3,24,-4,15,3,9,-7,0,1,8,8,0,1,0,1,2,0,0,2.966666667,39,6,22,4,17,2,15,0,2,2,0,15,0,1,0,0,-1,3.833333333,28,10,7,4,21,6,15,3,3,4,2,15,0,2,0,0,0,4.266666667
Jessica Eye,Joanne Wood,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Eric Colon 27 - 30. Anders Ohlsson 27 - 30. Ben Cartlidge 28 - 29.,Women's Flyweight Bout,UFC 257: Poirier vs. McGregor,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1/23/21,3,-28,-4,-10,3,-18,-7,-2,-2,-14,-24,6,0,0,0,-2,0,0,2.016666667,-37,-5,-9,-7,-28,2,-1,-11,-16,-25,-4,1,0,0,0,0,0,0.55,-45,18,-20,9,-25,9,-10,-5,-10,-20,-5,0,0,0,3,0,0,2.166666667
Arman Tsarukyan,Matt Frevola,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Sal D'amato 27 - 30. Clemens Werner 27 - 30. Eric Colon 26 - 30.,Lightweight Bout,UFC 257: Poirier vs. McGregor,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1/23/21,3,9,-3,-7,2,16,-5,15,0,1,19,-3,0,0,3,0,0,0,1.25,14,20,8,13,6,7,3,3,0,1,0,5,0,4,0,0,0,4.6,29,14,17,4,12,10,6,3,3,10,1,1,0,3,0,0,0,2.516666667
Brad Tavares,Antonio Carlos Junior,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Ben Cartlidge 27 - 30. Anders Ohlsson 27 - 30. David Lethaby 28 - 29.,Middleweight Bout,UFC 257: Poirier vs. McGregor,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1/23/21,3,-9,-4,-9,0,0,-4,-4,-1,5,0,0,0,0,0,-3,0,0,-2.783333333,11,-2,-3,-3,14,1,8,2,4,13,1,0,0,-1,-3,0,0,-1.1,14,-10,8,2,6,-12,0,3,3,4,2,0,0,0,-5,0,0,-2.5
Khalil Rountree Jr.,Marcin Prachnio,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Ben Cartlidge 28 - 29. Eric Colon 28 - 29. Anders Ohlsson 28 - 29.,Light Heavyweight Bout,UFC 257: Poirier vs. McGregor,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1/23/21,3,-16,-3,-2,-1,-14,-2,-3,-1,-10,-13,-1,0,0,0,0,0,0,0,-12,-10,0,0,-12,-10,4,-2,-14,-11,-1,0,0,0,0,0,0,0,-27,-3,0,0,-27,-3,-5,-13,-9,-27,0,0,0,0,-2,0,0,-0.083333333
Nik Lentz,Movsar Evloev,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Ben Cartlidge 28 - 29. Eric Colon 29 - 28. Paul Sutherland 28 - 29.,Catch Weight Bout,UFC 257: Poirier vs. McGregor,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1/23/21,3,-29,-3,-29,-3,0,0,-3,2,1,2,2,-4,0,-1,2,1,1,-2.6,-14,0,-6,2,-8,-2,-16,5,3,-11,3,0,0,0,1,1,0,-0.433333333,-44,-8,-16,-3,-28,-5,-27,1,-2,-28,0,0,0,0,1,0,0,-0.133333333
Amir Albazi,Zhalgas Zhumagulov,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell 28 - 29. Anders Ohlsson 28 - 29. Clemens Werner 28 - 29.,Flyweight Bout,UFC 257: Poirier vs. McGregor,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1/23/21,3,-4,30,5,2,-9,28,-3,-8,2,-9,0,0,0,0,0,0,0,0.05,7,7,1,0,6,7,10,-8,4,5,1,0,0,0,-2,0,0,0.166666667,17,-7,5,0,12,-7,11,0,1,10,0,2,0,1,1,0,0,2.966666667
Roxanne Modafferi,Viviane Araujo,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Sal D'amato 27 - 30. David Lethaby 27 - 30. Clemens Werner 26 - 30.,Women's Flyweight Bout,UFC Fight Night: Chiesa vs. Magny,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1/20/21,3,-25,6,-3,0,-22,6,-20,-2,0,-22,0,0,0,-1,1,-1,0,-0.166666667,-14,9,-3,0,-11,9,-12,-1,2,-11,0,0,0,-1,2,0,0,-0.9,-12,15,-5,4,-7,11,-7,0,0,-7,0,0,0,-2,2,0,0,-1.383333333
